gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
AP002761.1,0.22379213620921368,1.293295847779691,1.0695037115704773,1.9766634476674119,0.05037105598120066,98,50,0.0693960571544647,0.22379213620921368,NS
ZNF333,-0.22368811866775862,1.941355578276492,2.1650436969442506,-3.2138365766484576,0.0016480459269934853,98,50,0.0028742107433555614,0.22368811866775862,NS
NDUFB8,0.22366484442361712,2.6721389858466416,2.4484741414230244,3.344612519704221,0.0010890286359290327,98,50,0.0019529662776658619,0.22366484442361712,NS
EEF1A1P4,-0.2236219920357163,1.4785820591179262,1.7022040511536425,-1.9898414555217632,0.048697309913302886,98,50,0.0672686357620574,0.2236219920357163,NS
RTL10,0.22350653617502347,4.003285168652424,3.7797786324774,1.8667766901047227,0.06407136888323381,98,50,0.0865959794537747,0.22350653617502347,NS
AC110285.2,0.22350596278325208,2.1184744359954175,1.8949684732121654,1.2015434460178949,0.2317541912565159,98,50,0.27877759989580897,0.22350596278325208,NS
MAPKAPK3,-0.2234944065489275,5.72421742773272,5.947711834281647,-2.7539863477146347,0.006673629165460293,98,50,0.010631465759752247,0.2234944065489275,NS
FBN2,0.22342000135132467,0.6541502436970285,0.4307302423457038,2.035928762034011,0.04366024381298498,98,50,0.060800156015682776,0.22342000135132467,NS
MIR6503,0.22340519101179435,0.9167697150042836,0.6933645239924893,1.4517846938609111,0.14915845392790392,98,50,0.18740981315656527,0.22340519101179435,NS
RBM14,0.2232964760364764,4.5959008033156685,4.372604327279192,3.18205006073577,0.0018235002295637576,98,50,0.0031631037267534482,0.2232964760364764,NS
TRAV9-2,0.22329440662497246,1.5378111041208797,1.3145166974959073,1.6824073420691001,0.0954578628678065,98,50,0.12468610621528117,0.22329440662497246,NS
IFT172,-0.22324354242793998,2.6826770511043283,2.9059205935322683,-1.7661774079135033,0.08035548035231582,98,50,0.10649651557407075,0.22324354242793998,NS
CAPZA1,0.22322976923075455,7.375980394305343,7.152750625074589,3.6479508954426585,0.00036719075600085,98,50,0.0007028886791400767,0.22322976923075455,NS
SBNO1,0.22315058131591803,3.939886770428958,3.71673618911304,2.465832643311872,0.014916434544185972,98,50,0.022465744546319787,0.22315058131591803,NS
ZDHHC6,0.2231433715304112,5.133732787937531,4.91058941640712,4.337846403747733,2.678756789868977e-05,98,50,5.9177999623911e-05,0.2231433715304112,NS
RMDN1,-0.22312165520998128,4.485831905222455,4.708953560432437,-3.463205069590188,0.0007137866573375353,98,50,0.0013139588308704584,0.22312165520998128,NS
FBXO38,-0.22311604275291508,4.106220185710564,4.329336228463479,-2.8887886447177435,0.004456868736956689,98,50,0.007291378124391001,0.22311604275291508,NS
HBP1,-0.223113682435093,4.688285862001363,4.911399544436456,-2.7089769383324405,0.007572841546828268,98,50,0.011958713279888084,0.223113682435093,NS
EXD2,-0.2230892128163635,4.059880771304864,4.282969984121228,-3.465142722600767,0.0006997764305392846,98,50,0.0012899087990830423,0.2230892128163635,NS
KLHDC7A,0.22307085893191525,2.5930200723350265,2.3699492134031113,1.3384427230603622,0.18283623201845128,98,50,0.2252768911337066,0.22307085893191525,NS
VAV1,-0.22306895145952854,4.03722454152334,4.260293492982869,-2.0473497939238463,0.042417772150724946,98,50,0.059182705928421134,0.22306895145952854,NS
RPL7A,0.22306666785113904,10.323642528019302,10.100575860168163,2.5064342712805843,0.013295527229189153,98,50,0.020181624267725958,0.22306666785113904,NS
ZNF594,0.22306251836576196,1.9527173956403667,1.7296548772746048,2.1156653118631716,0.036266723682258244,98,50,0.05125662308387931,0.22306251836576196,NS
AC027307.2,-0.2229870203673956,3.3957636744025494,3.618750694769945,-2.797578483496944,0.005877876618820722,98,50,0.009440008603120296,0.2229870203673956,NS
SETD2,-0.2229597065614506,4.441893845347673,4.664853551909124,-2.1507080182352083,0.033763223480421344,98,50,0.048007235461855945,0.2229597065614506,NS
ZSWIM8,-0.2228547958598064,4.107686189504918,4.330540985364724,-2.1096167954578684,0.036825610217266026,98,50,0.05198320738260419,0.2228547958598064,NS
FAM3B,-0.22282867873337153,3.4806892158549245,3.703517894588296,-1.0267845130362219,0.3063361240051317,98,50,0.35786676100546205,0.22282867873337153,NS
RNU6-26P,0.2228121911615364,1.4644384872930574,1.241626296131521,1.2517718109864189,0.21276934054806093,98,50,0.25803301303173165,0.2228121911615364,NS
PTMAP2,0.2227492442997545,3.6215873016702025,3.398838057370448,1.37753180610842,0.1710722606853975,98,50,0.21221349910863832,0.2227492442997545,NS
RTL8A,0.22270278362101958,6.702787247762872,6.480084464141853,2.1147930392692516,0.03650927845377604,98,50,0.05157357083790372,0.22270278362101958,NS
TRAPPC4,0.2227005018825885,4.7239543139243425,4.501253812041754,3.4227736451778594,0.0008058705991231504,98,50,0.0014724788776347246,0.2227005018825885,NS
PRELID1P5,0.22267618544244416,1.2358264304047815,1.0131502449623373,2.3232087844164204,0.021675135106069096,98,50,0.03179793409493221,0.22267618544244416,NS
ZPR1,0.22250055348488207,4.497461365491191,4.2749608120063085,3.876755317193018,0.00016263738060549337,98,50,0.00032573703373732455,0.22250055348488207,NS
RPS3AP47,-0.22244260615903677,2.3742514855209444,2.596694091679981,-1.768497052818459,0.0794583025098031,98,50,0.10538533937338096,0.22244260615903677,NS
SCGB1B2P,-0.22236956850678613,1.6458367437247126,1.8682063122314987,-1.924395048816437,0.05625026334048572,98,50,0.07687315201965667,0.22236956850678613,NS
RASGRP3,-0.22225843144749646,2.424700407295602,2.6469588387430987,-2.3334689339157735,0.02151483955775167,98,50,0.031579213247614965,0.22225843144749646,NS
STIM1,-0.2222552319707285,5.066661530070728,5.288916762041456,-3.007587956258596,0.0031031535650680384,98,50,0.005203129076127509,0.2222552319707285,NS
SHOC2,-0.22211105423800515,5.275638259868185,5.49774931410619,-3.5989948977370645,0.00043698486135148907,98,50,0.0008276578011389919,0.22211105423800515,NS
SHTN1,-0.22210617485840523,4.522403337901233,4.744509512759638,-2.4287999106056724,0.016456289444418865,98,50,0.024627016894598317,0.22210617485840523,NS
TCEANC,-0.22202123126830808,1.6144801274775358,1.8365013587458439,-3.6406860203947806,0.00041685226726527913,98,50,0.0007914256382932985,0.22202123126830808,NS
CALM2P2,-0.22197851667173918,2.5603984680479006,2.78237698471964,-1.5623303021634154,0.12103228184575887,98,50,0.15484158480202453,0.22197851667173918,NS
AP003170.3,0.22196567571047177,1.183746146623461,0.9617804709129891,1.5989183556805278,0.1126422675594136,98,50,0.1449632730381078,0.22196567571047177,NS
ECHDC2,-0.22195790346295885,3.8334097922195443,4.055367695682503,-1.7497877111899296,0.08241957709635955,98,50,0.1089685891651259,0.22195790346295885,NS
MACO1,0.22193003682589474,5.231007221222186,5.009077184396292,3.1364913610161227,0.0020685271558140788,98,50,0.0035590861414678448,0.22193003682589474,NS
JOSD2,-0.22192402821221524,5.171123420565367,5.393047448777582,-2.4540119646354817,0.015303620501786392,98,50,0.02300323270609824,0.22192402821221524,NS
PON3,0.22178240361286772,4.78401153740623,4.5622291337933625,1.260683387176421,0.2096902432038758,98,50,0.2545962152869212,0.22178240361286772,NS
CCDC74A,-0.22176899422473317,2.196780025939159,2.4185490201638924,-1.1540574735147158,0.2517462504098413,98,50,0.30040846259744575,0.22176899422473317,NS
RAD52,0.22176545713249096,2.7042033628866418,2.482437905754151,2.2984744281437046,0.023367066891699907,98,50,0.03414041985880029,0.22176545713249096,NS
AC114730.3,0.22165707180034022,0.9451583497689435,0.7235012779686033,2.288963569326395,0.023581267486818342,98,50,0.034417695481204755,0.22165707180034022,NS
RPS4X,0.22164711846337326,10.363132075227117,10.141484956763744,2.249734589757684,0.02596577002644434,98,50,0.03761138261667622,0.22164711846337326,NS
AC021106.1,-0.2216011252236736,1.2726614028502128,1.4942625280738864,-2.2994674726869517,0.023140430287777753,98,50,0.0338218156587788,0.2216011252236736,NS
CASP7,-0.2215774745636283,5.217628195877707,5.439205670441336,-3.565518069890131,0.0004922090532742143,98,50,0.000927091610606229,0.2215774745636283,NS
RABL2A,-0.22155265486740428,2.3263826316341096,2.547935286501514,-1.8214115929181727,0.07144447700448685,98,50,0.09562441702045489,0.22155265486740428,NS
SDHD,-0.22153910065283622,5.789179141509869,6.010718242162705,-2.803013870637256,0.005753397041666945,98,50,0.009253649925172316,0.22153910065283622,NS
MYO1D,0.22150773290317094,5.9443573335954385,5.722849600692268,2.0857692603003097,0.03877138410769506,98,50,0.05449981536369504,0.22150773290317094,NS
MAL2-AS1,0.22148033056936767,0.7299067848674278,0.5084264542980601,2.368876223696002,0.01916101792546288,98,50,0.028352098670270182,0.22148033056936767,NS
CAMK4,-0.22140808203444107,1.0090520623675903,1.2304601444020313,-2.814213714014532,0.005650579258456653,98,50,0.009100892144436715,0.22140808203444107,NS
FOXP2,-0.2213843154382764,1.2083540347366197,1.4297383501748961,-2.1846231024902876,0.030548471376506476,98,50,0.04371347115306591,0.2213843154382764,NS
PCNP,-0.2213216105870366,7.016879055710998,7.2382006662980345,-3.1380836333729305,0.0020757753676924687,98,50,0.0035703119174067127,0.2213216105870366,NS
KLHL18,-0.221211992099696,3.2126442713428887,3.4338562634425847,-3.4270279415233675,0.0008050843364208581,98,50,0.0014711784715739122,0.221211992099696,NS
ELAC2,0.22118443293878087,4.831363926135391,4.61017949319661,3.5535561115839895,0.0005129645815822513,98,50,0.0009637930858601865,0.22118443293878087,NS
