gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
UBR2,-0.13712188736031994,4.954821876555107,5.091943763915427,-1.6796030226246967,0.09528855231706926,100,50,0.1309245399025761,0.13712188736031994,NS
CS,-0.13711505818404657,6.579329644777776,6.716444702961822,-1.8488743135022054,0.06704376216855283,100,50,0.09537837271348762,0.13711505818404657,NS
AP000439.1,0.13710103877465085,0.9539310921450195,0.8168300533703686,1.1443823945135154,0.2543126874614513,100,50,0.3126000156149918,0.13710103877465085,NS
AL035458.1,0.13703065275319837,2.240610790334109,2.1035801375809107,1.3352152373952664,0.18388906541708383,100,50,0.23530811142853186,0.13703065275319837,NS
GOPC,-0.1370091991497322,5.150392845564734,5.287402044714466,-1.47683697220193,0.14242867731816888,100,50,0.18772897617225,0.1370091991497322,NS
AC005785.1,0.13695385826415152,0.9530825163084156,0.816128658044264,1.7857809535701135,0.07621778257584606,100,50,0.10707997988046233,0.13695385826415152,NS
AC139149.1,0.13691156020128759,1.2594059178203003,1.1224943576190127,1.12293975169328,0.26371799829859377,100,50,0.32265797949728325,0.13691156020128759,NS
SHANK2-AS2,0.13687917437495084,0.37929125357802307,0.24241207920307223,1.418363115353663,0.15835632974405645,100,50,0.20636839635025295,0.13687917437495084,NS
METAP1,-0.13678961968053827,5.460834413187906,5.597624032868445,-1.3296648322131845,0.18703134701691684,100,50,0.23878137386069534,0.13678961968053827,NS
PACS2,-0.13675323576813803,4.221119480500717,4.357872716268855,-1.9445358446544516,0.053770315954848845,100,50,0.07822192949790162,0.13675323576813803,NS
AL513477.1,-0.13673826210667128,2.185026771941007,2.321765034047678,-1.09404387937818,0.2761605896930091,100,50,0.33584030858413083,0.13673826210667128,NS
CD1D,-0.13669463981701657,1.309829759108836,1.4465243989258525,-1.5545029117523876,0.12262570598013868,100,50,0.16433409928448067,0.13669463981701657,NS
ZFYVE16,-0.13668268773399328,3.3512892792176463,3.4879719669516396,-1.1329773953879427,0.25937374053285067,100,50,0.3180402531481931,0.13668268773399328,NS
RYBP,0.1366740493733758,5.1137308890488,4.9770568396754244,1.3272486718742038,0.18718606495560167,100,50,0.23893203623924916,0.1366740493733758,NS
AKAP10,-0.13666942214979372,4.5450802573858935,4.681749679535687,-1.3336306296002174,0.18453730797335888,100,50,0.23607573459091843,0.13666942214979372,NS
AP000577.1,-0.13666402287543233,1.6433567427971931,1.7800207656726255,-0.960123786138089,0.3392607568902515,100,50,0.40132942386841586,0.13666402287543233,NS
AC010332.1,-0.13663648278990648,3.5594151216036702,3.6960516043935767,-0.7806740249427686,0.4366108609947319,100,50,0.5008636049021343,0.13663648278990648,NS
AC123912.1,-0.13663293650942476,1.078241667993388,1.2148746045028127,-1.226640743080806,0.2220592920422523,100,50,0.27731848271354953,0.13663293650942476,NS
CNTRL,-0.1366126363511646,3.4483471053499017,3.5849597417010663,-1.218618209791812,0.22579076881453236,100,50,0.28151042923262504,0.1366126363511646,NS
ARFIP1,0.1365377321640313,5.56794940895643,5.431411676792399,1.4761277926046712,0.1428742972071681,100,50,0.18821469348744324,0.1365377321640313,NS
TRBV6-2,0.1364810952101343,1.108034572505042,0.9715534772949077,1.009995270941098,0.3145774805031074,100,50,0.37620985189761014,0.1364810952101343,NS
ICMT,0.13644232047344573,6.353705416249397,6.217263095775952,2.0160310336701452,0.04563940767704861,100,50,0.06750497755716772,0.13644232047344573,NS
SMPD1,0.1363666883350243,5.64568000065941,5.509313312324386,1.6762633820518764,0.09579883288004797,100,50,0.131533104320679,0.1363666883350243,NS
AC005840.4,0.13636171201842062,1.8802490996485381,1.7438873876301175,1.361010969118392,0.17631533454472453,100,50,0.2268803649195938,0.13636171201842062,NS
LMBR1L,-0.13636135226694934,3.7769715781791944,3.9133329304461437,-1.5693125716840393,0.11945534381268516,100,50,0.16068089127438887,0.13636135226694934,NS
AL353748.2,-0.1363334463457183,0.7267342569775308,0.8630677033232491,-1.1776848301662026,0.2410630608140374,100,50,0.29834189304827663,0.1363334463457183,NS
PDK1,-0.13628791493634207,2.503001311646139,2.639289226582481,-1.3571659056124796,0.17681538156621707,100,50,0.2274040023303148,0.13628791493634207,NS
HAO1,0.13628364398480744,0.20646001472019657,0.07017637073538913,1.5069456193975235,0.1348900144350293,100,50,0.1787700089502387,0.13628364398480744,NS
FBXO3,-0.13625572684716092,3.9247467308902757,4.061002457737437,-1.8225827994725585,0.07051675306286107,100,50,0.09989702822536912,0.13625572684716092,NS
